Address,Offset,Description,Type
2770,270,Statistical.Serial Channel 31 Average,FloatingPoint32Bit
2772,272,Statistical.Serial Channel 31 Standard Deviation,FloatingPoint32Bit
2774,274,Statistical.Serial Channel 31 Max,FloatingPoint32Bit
2776,276,Statistical.Serial Channel 31 Min,FloatingPoint32Bit
2778,278,Statistical.Serial Channel 32 Average,FloatingPoint32Bit
2780,280,Statistical.Serial Channel 32 Standard Deviation,FloatingPoint32Bit
2782,282,Statistical.Serial Channel 32 Max,FloatingPoint32Bit
2784,284,Statistical.Serial Channel 32 Min,FloatingPoint32Bit
2786,286,Statistical.Serial Channel 33 Average,FloatingPoint32Bit
2788,288,Statistical.Serial Channel 33 Standard Deviation,FloatingPoint32Bit
2790,290,Statistical.Serial Channel 33 Max,FloatingPoint32Bit
2792,292,Statistical.Serial Channel 33 Min,FloatingPoint32Bit
2794,294,Statistical.Serial Channel 34 Average,FloatingPoint32Bit
2796,296,Statistical.Serial Channel 34 Standard Deviation,FloatingPoint32Bit
2798,298,Statistical.Serial Channel 34 Max,FloatingPoint32Bit
2800,300,Statistical.Serial Channel 34 Min,FloatingPoint32Bit
2802,302,Statistical.Serial Channel 35 Average,FloatingPoint32Bit
2804,304,Statistical.Serial Channel 35 Standard Deviation,FloatingPoint32Bit
2806,306,Statistical.Serial Channel 35 Max,FloatingPoint32Bit
2808,308,Statistical.Serial Channel 35 Min,FloatingPoint32Bit
2810,310,Statistical.Serial Channel 36 Average,FloatingPoint32Bit
2812,312,Statistical.Serial Channel 36 Standard Deviation,FloatingPoint32Bit
2814,314,Statistical.Serial Channel 36 Max,FloatingPoint32Bit
2816,316,Statistical.Serial Channel 36 Min,FloatingPoint32Bit
2818,318,Statistical.Serial Channel 37 Average,FloatingPoint32Bit
2820,320,Statistical.Serial Channel 37 Standard Deviation,FloatingPoint32Bit
2822,322,Statistical.Serial Channel 37 Max,FloatingPoint32Bit
2824,324,Statistical.Serial Channel 37 Min,FloatingPoint32Bit
2826,326,Statistical.Serial Channel 38 Average,FloatingPoint32Bit
2828,328,Statistical.Serial Channel 38 Standard Deviation,FloatingPoint32Bit
2830,330,Statistical.Serial Channel 38 Max,FloatingPoint32Bit
2832,332,Statistical.Serial Channel 38 Min,FloatingPoint32Bit
2834,334,Statistical.Serial Channel 39 Average,FloatingPoint32Bit
2836,336,Statistical.Serial Channel 39 Standard Deviation,FloatingPoint32Bit
2838,338,Statistical.Serial Channel 39 Max,FloatingPoint32Bit
2840,340,Statistical.Serial Channel 39 Min,FloatingPoint32Bit
2842,342,Statistical.Serial Channel 40 Average,FloatingPoint32Bit
2844,344,Statistical.Serial Channel 40 Standard Deviation,FloatingPoint32Bit
2846,346,Statistical.Serial Channel 40 Max,FloatingPoint32Bit
2848,348,Statistical.Serial Channel 40 Min,FloatingPoint32Bit
2850,350,Statistical.Serial Channel 41 Average,FloatingPoint32Bit
2852,352,Statistical.Serial Channel 41 Standard Deviation,FloatingPoint32Bit
2854,354,Statistical.Serial Channel 41 Max,FloatingPoint32Bit
2856,356,Statistical.Serial Channel 41 Min,FloatingPoint32Bit
2858,358,Statistical.Serial Channel 42 Average,FloatingPoint32Bit
2860,360,Statistical.Serial Channel 42 Standard Deviation,FloatingPoint32Bit
2862,362,Statistical.Serial Channel 42 Max,FloatingPoint32Bit
2864,364,Statistical.Serial Channel 42 Min,FloatingPoint32Bit
2866,366,Statistical.Serial Channel 43 Average,FloatingPoint32Bit
2868,368,Statistical.Serial Channel 43 Standard Deviation,FloatingPoint32Bit
2870,370,Statistical.Serial Channel 43 Max,FloatingPoint32Bit
2872,372,Statistical.Serial Channel 43 Min,FloatingPoint32Bit
2874,374,Statistical.Serial Channel 44 Average,FloatingPoint32Bit
2876,376,Statistical.Serial Channel 44 Standard Deviation,FloatingPoint32Bit
2878,378,Statistical.Serial Channel 44 Max,FloatingPoint32Bit
2880,380,Statistical.Serial Channel 44 Min,FloatingPoint32Bit
2882,382,Statistical.Serial Channel 45 Average,FloatingPoint32Bit
2884,384,Statistical.Serial Channel 45 Standard Deviation,FloatingPoint32Bit
2886,386,Statistical.Serial Channel 45 Max,FloatingPoint32Bit
2888,388,Statistical.Serial Channel 45 Min,FloatingPoint32Bit
2890,390,Statistical.Serial Channel 46 Average,FloatingPoint32Bit
2892,392,Statistical.Serial Channel 46 Standard Deviation,FloatingPoint32Bit
2894,394,Statistical.Serial Channel 46 Max,FloatingPoint32Bit
2896,396,Statistical.Serial Channel 46 Min,FloatingPoint32Bit
2898,398,Statistical.Serial Channel 47 Average,FloatingPoint32Bit
2900,400,Statistical.Serial Channel 47 Standard Deviation,FloatingPoint32Bit
2902,402,Statistical.Serial Channel 47 Max,FloatingPoint32Bit
2904,404,Statistical.Serial Channel 47 Min,FloatingPoint32Bit
2906,406,Statistical.Serial Channel 48 Average,FloatingPoint32Bit
2908,408,Statistical.Serial Channel 48 Standard Deviation,FloatingPoint32Bit
2910,410,Statistical.Serial Channel 48 Max,FloatingPoint32Bit
2912,412,Statistical.Serial Channel 48 Min,FloatingPoint32Bit
2914,414,Statistical.Serial Channel 49 Average,FloatingPoint32Bit
2916,416,Statistical.Serial Channel 49 Standard Deviation,FloatingPoint32Bit
2918,418,Statistical.Serial Channel 49 Max,FloatingPoint32Bit
2920,420,Statistical.Serial Channel 49 Min,FloatingPoint32Bit
2922,422,Statistical.Serial Channel 50 Average,FloatingPoint32Bit
2924,424,Statistical.Serial Channel 50 Standard Deviation,FloatingPoint32Bit
2926,426,Statistical.Serial Channel 50 Max,FloatingPoint32Bit
2928,428,Statistical.Serial Channel 50 Min,FloatingPoint32Bit
3000,0,Diagnostic.Year UTC,UnsignedInteger16Bit
3001,1,Diagnostic.Month UTC,UnsignedInteger16Bit
3002,2,Diagnostic.Day UTC,UnsignedInteger16Bit
3003,3,Diagnostic.Hour UTC,UnsignedInteger16Bit
3004,4,Diagnostic.Minute UTC,UnsignedInteger16Bit
3005,5,Diagnostic.Second UTC,UnsignedInteger16Bit
3006,6,Diagnostic.Temperature,FloatingPoint32Bit
3008,8,Diagnostic.12V Nominal Battery,FloatingPoint32Bit
3010,10,Diagnostic.12V Nominal Battery Current to Sensors mA,FloatingPoint32Bit
3012,12,Diagnostic.2V Nominal DCell or iPack Voltage,FloatingPoint32Bit
3014,14,Diagnostic.5V Current to Sensors mA,FloatingPoint32Bit
3016,16,Diagnostic.Is SD card loaded,UnsignedInteger16Bit
3017,17,Diagnostic.Free SD Card Memory KB,UnsignedInteger32Bit
3019,19,Diagnostic.Used SD Card Memory KB,UnsignedInteger32Bit
3021,21,Diagnostic.Timezone Offset Hours,FloatingPoint32Bit
3500,0,One Second Calculated.Year UTC,UnsignedInteger16Bit
3501,1,One Second Calculated.Month UTC,UnsignedInteger16Bit
3502,2,One Second Calculated.Day UTC,UnsignedInteger16Bit
3503,3,One Second Calculated.Hour UTC,UnsignedInteger16Bit
3504,4,One Second Calculated.Minute UTC,UnsignedInteger16Bit
3505,5,One Second Calculated.Second UTC,UnsignedInteger16Bit
3506,6,One Second Calculated.Channel 100,FloatingPoint32Bit
3508,8,One Second Calculated.Channel 101,FloatingPoint32Bit
3510,10,One Second Calculated.Channel 102,FloatingPoint32Bit
3512,12,One Second Calculated.Channel 103,FloatingPoint32Bit
3514,14,One Second Calculated.Channel 104,FloatingPoint32Bit
3516,16,One Second Calculated.Channel 105,FloatingPoint32Bit
3518,18,One Second Calculated.Channel 106,FloatingPoint32Bit
3520,20,One Second Calculated.Channel 107,FloatingPoint32Bit
3522,22,One Second Calculated.Channel 108,FloatingPoint32Bit
3524,24,One Second Calculated.Channel 109,FloatingPoint32Bit
4000,0,Statistical Calculated.Year UTC,UnsignedInteger16Bit
4001,1,Statistical Calculated.Month UTC,UnsignedInteger16Bit
4002,2,Statistical Calculated.Day UTC,UnsignedInteger16Bit
4003,3,Statistical Calculated.Hour UTC,UnsignedInteger16Bit
4004,4,Statistical Calculated.Minute UTC,UnsignedInteger16Bit
4005,5,Statistical Calculated.Second UTC,UnsignedInteger16Bit
4006,6,Statistical Calculated.Channel 100 Average,FloatingPoint32Bit
4008,8,Statistical Calculated.Channel 100 Standard Deviation,FloatingPoint32Bit
4010,10,Statistical Calculated.Channel 100 Max,FloatingPoint32Bit
4012,12,Statistical Calculated.Channel 100 Min,FloatingPoint32Bit
